"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"1075027";"Fastum 2,5 % transderm. lok. gel 60 g 25 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=13706";"http://www.bcfi.be/nl/contents/jump?amppid=13706&view=pvt"
"1597210";"Fastum 2,5 % transderm. lok. gel (doseerpomp) 120 g 25 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=25528";"http://www.bcfi.be/nl/contents/jump?amppid=25528&view=pvt"
"3277597";"Fastum (Impexeco) 2,5 % transderm. lok. gel 60 g 25 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=189613";"http://www.bcfi.be/nl/contents/jump?amppid=189613&view=pvt"
"2854438";"Fastum (Impexeco) 2,5 % transderm. lok. gel (doseerpomp) 120 g 25 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=189621";"http://www.bcfi.be/nl/contents/jump?amppid=189621&view=pvt"
"1721893";"Fasturtec inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.] 1 x 7,5 mg";"http://www.bcfi.be/nl/contents/jump?amppid=28886";"http://www.bcfi.be/nl/contents/jump?amppid=28886&view=pvt"
"1660695";"Fasturtec inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.] 3 x 1,5 mg";"http://www.bcfi.be/nl/contents/jump?amppid=26914";"http://www.bcfi.be/nl/contents/jump?amppid=26914&view=pvt"
"4132049";"Feburik omh. tabl. (deelb.) 84 x 80 mg";"http://www.bcfi.be/nl/contents/jump?amppid=173286";"http://www.bcfi.be/nl/contents/jump?amppid=173286&view=pvt"
"3911112";"Febuxostat AB filmomh. tabl. 84 x 80 mg";"http://www.bcfi.be/nl/contents/jump?amppid=167270";"http://www.bcfi.be/nl/contents/jump?amppid=167270&view=pvt"
"4247748";"Febuxostat EG filmomh. tabl. 84 x 120 mg";"http://www.bcfi.be/nl/contents/jump?amppid=175356";"http://www.bcfi.be/nl/contents/jump?amppid=175356&view=pvt"
"4247755";"Febuxostat EG filmomh. tabl. (deelb.) 84 x 80 mg";"http://www.bcfi.be/nl/contents/jump?amppid=175349";"http://www.bcfi.be/nl/contents/jump?amppid=175349&view=pvt"
"1018514";"Feiba inj./inf. oploss. (pdr. + solv.) i.v. [2x flac.] 1 000 E";"http://www.bcfi.be/nl/contents/jump?amppid=13169";"http://www.bcfi.be/nl/contents/jump?amppid=13169&view=pvt"
