"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00371";"inj./inf./instill./verneveloploss. i.m./i.v./auric./endotrach./inhal./nas. [amp.]";"sol. inj./perf./instill./inhal. nébul. i.m./i.v./auric./endotrach./inhal./nas. [amp.]";true;false
"00372";"inj. susp. s.c. Cartridge [patr.]";"susp. inj. s.c. Cartridge [cart.]";true;false
"00373";"inj. susp. i.m./s.c. [flac.]";"susp. inj. i.m./s.c. [flac.]";true;false
"00374";"endotrach./inhal./nas. druppels/verneveloploss. (pdr. + solv.) [druppelfl.]";"sol. gtts/inhal. nébul. (pdr + solv.) endotrach./inhal./nas. [flac. compte-gouttes]";true;false
"00375";"inj./instill. susp. verl. afgifte i.m./i.artic./i.laes./i.burs./p.artic./rect. [voorgev. spuit]";"susp. inj./instill. lib. prol. i.m./i.artic./i.lés./i.burs./p.artic./rect. [ser. préremplie]";true;false
"00376";"inj./inf. oploss. (conc.) i.m./i.v./s.c. [amp.]";"sol. inj./perf. à diluer i.m./i.v./s.c. [amp.]";true;false
"00377";"crème Labialis";"crème Labialis";true;false
"00378";"cut. susp. Wash";"susp. cut. Wash";true;false
"00379";"oplosb. tabl.";"compr. sol.";true;false
"00380";"inf. emuls. i.v. [voorgev. spuit]";"émuls. perf. i.v. [ser. préremplie]";true;false
"00381";"bruispdr. (zakjes)";"poudre efferv. (sachet)";true;false
"00382";"or. pasta";"pâte or.";true;false
"00383";"inj. oploss. i.m./s.c./i.derm. [amp.]";"sol. inj. i.m./s.c./i.derm. [amp.]";true;false
"00384";"inj./inf. oploss. i.v./i.arter. [amp.]";"sol. inj./perf. i.v./i.artér. [amp.]";true;false
"00385";"inj. oploss. (pdr. + solv.) i.cavern. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.cavern. [flac. + ser. préremplie]";true;false
"00386";"inj. oploss. i.vitr. [voorgev. spuit]";"sol. inj. i.vitr. [ser. préremplie]";true;false
"00387";"inj. oploss. s.c. SmartJect [voorgev. pen]";"sol. inj. s.c. SmartJect [stylo prérempli]";true;false
