"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"3235611";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband 3x (10x10cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1265594";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband 5x (15x15cm)";0;"verband";1;"geen actieve ingrediënten";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1265602";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband 5x (20x20cm)";0;"verband";1;"geen actieve ingrediënten";"20 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1516376";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Contour 5x (6x8cm)";0;"verband Contour";1;"geen actieve ingrediënten";"6 x 8 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1516384";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Contour 5x (9x11cm)";0;"verband Contour";1;"geen actieve ingrediënten";"9 x 11 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1516400";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Sacrum 5x (18x20cm)";0;"verband Sacrum";1;"geen actieve ingrediënten";"18 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3343126";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent 10x (10x10cm)";0;"verband Transparent";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0443747";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent 10x (5x7cm)";0;"verband Transparent";1;"geen actieve ingrediënten";"5 x 7 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0443762";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent 10x (9x14cm)";0;"verband Transparent";1;"geen actieve ingrediënten";"9 x 14 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0443770";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent 5x (15x20cm)";0;"verband Transparent";1;"geen actieve ingrediënten";"15 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3210499";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent Postoperatief 5x (5x15cm)";0;"verband Transparent Postoperatief";1;"geen actieve ingrediënten";"5 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3210507";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent Postoperatief 5x (5x25cm)";0;"verband Transparent Postoperatief";1;"geen actieve ingrediënten";"5 x 25 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3210481";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband Transparent Postoperatief 5x (9x25cm)";0;"verband Transparent Postoperatief";1;"geen actieve ingrediënten";"9 x 25 cm";;0.0000;;;0.0000;;0.0000;;true;false
"4969622";"02860";"1";"LAAPA";"8902512";"49817-1446";"Comirnaty LP.8.1 10 µg/1 dos. inj. disp. i.m. [flac.] 10x2,25ml";0;"inj. disp. i.m. [flac.]";1;"COVID-19 virus (mRNA, lipiden-nanopartikels)";;;0.0000;;;0.0000;;0.0000;;true;false
"4969630";"02860";"1";"LAAPA";"8902512";"49817-1446";"Comirnaty LP.8.1 30 µg/1 dos. inj. disp. i.m. [flac.] 10x2,25ml";0;"inj. disp. i.m. [flac.]";1;"COVID-19 virus (mRNA, lipiden-nanopartikels)";;;0.0000;;;0.0000;;0.0000;;true;false
"4969648";"02860";"1";"LAAPA";"8902512";"49817-1446";"Comirnaty LP.8.1 3 µg/1 dos. inj. disp. (conc.) i.m. [flac.] 10x0,48ml";0;"inj. disp. (conc.) i.m. [flac.]";1;"COVID-19 virus (mRNA, lipiden-nanopartikels)";;;0.0000;;;0.0000;;0.0000;;true;false
"1437953";"00601";"1";"JFDA";"0008615";"6411-1404";"Comtan filmomh. tabl. 100x 200mg";0;"filmomh. tabl.";1;"entacapon";;;200.0000;"mg";;0.0000;;0.0000;;true;false
"4917878";"00601";"1";"JFDA";"0008615";"6411-3418";"Comtan (Orifarm Belgium) filmomh. tabl. 100x 200mg";0;"filmomh. tabl.";1;"entacapon";;;200.0000;"mg";;0.0000;;0.0000;;true;false
"3180247";"01158";"1";"JDAD";"0008334";"6437-1529";"Concerta (PI-Pharma) tabl. verl. afgifte 30x 54mg";0;"tabl. verl. afgifte";1;"methylfenidaat hydrochloride";;;54.0000;"mg";;0.0000;;0.0000;;true;false
"1765924";"01158";"1";"JDAD";"0008334";"6437-935";"Concerta tabl. verl. afgifte 30x 18mg";0;"tabl. verl. afgifte";1;"methylfenidaat hydrochloride";;;18.0000;"mg";;0.0000;;0.0000;;true;false
"2561512";"01158";"1";"JDAD";"0008334";"6437-935";"Concerta tabl. verl. afgifte 30x 27mg";0;"tabl. verl. afgifte";1;"methylfenidaat hydrochloride";;;27.0000;"mg";;0.0000;;0.0000;;true;false
"1766021";"01158";"1";"JDAD";"0008334";"6437-935";"Concerta tabl. verl. afgifte 30x 36mg";0;"tabl. verl. afgifte";1;"methylfenidaat hydrochloride";;;36.0000;"mg";;0.0000;;0.0000;;true;false
"2093979";"01158";"1";"JDAD";"0008334";"6437-935";"Concerta tabl. verl. afgifte 30x 54mg";0;"tabl. verl. afgifte";1;"methylfenidaat hydrochloride";;;54.0000;"mg";;0.0000;;0.0000;;true;false
"5803531";"00486";"1";"IEEAA";"0017236";"50310-711";"Conexxence inj. oploss. s.c. [voorgev. spuit] 1x 60mg/1ml";0;"inj. oploss. s.c. [voorgev. spuit]";1;"denosumab";;;60.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"2546398";"00673";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";1;"factor II";;;400.0000;"IE";;0.0000;;960.0000;"IE";true;false
"2546398";"00675";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";2;"factor VII";;;200.0000;"IE";;0.0000;;500.0000;"IE";true;false
"2546398";"00674";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";3;"factor IX";;;400.0000;"IE";;0.0000;;620.0000;"IE";true;false
"2546398";"00678";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";4;"factor X";;;440.0000;"IE";;0.0000;;1200.0000;"IE";true;false
"2546398";"01486";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";5;"proteïne C";;;300.0000;"IE";;0.0000;;900.0000;"IE";true;false
"2546398";"01487";"1";"BBAG";"0002261";"6445-513";"Confidex inj. oploss. (pdr.+solv.) i.v. [2x flac.]";0;"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";6;"proteïne S";;;240.0000;"IE";;0.0000;;760.0000;"IE";true;false
"2689073";"00868";"1";"OBDA";"0014316";"6452-489";"Conforma Hydrocortisone crème 30g 10mg/1g";0;"crème";1;"hydrocortison acetaat";;;10.0000;"mg";"/";1.0000;"g";0.0000;;true;false
"0487710";"01843";"1";"OAAK";"0013870";"6460-489";"Confosept Zuurstofwater cut. oploss. 120ml 3%";0;"cut. oploss.";1;"waterstofperoxide";;;3.0000;"%";;0.0000;;0.0000;;true;false
"3096922";"02163";"1";"CEFA";"0025791";"33464-59";"Constella harde caps. 28x 290µg";0;"harde caps.";1;"linaclotide";;;290.0000;"µg";;0.0000;;0.0000;;true;false
