"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"34124-570";"0026294";"LCBBGC";"Taltz";"00570";false;;;;;0;0;false;false;false;true;false
"24547-1818";"0017327";"ANF";"Sildenafil Teva";"01818";false;;;;;0;0;false;false;false;true;false
"34157-661";"0017673";"EFBA";"Nocdurna";"00661";false;;;"M";"M";0;0;false;false;false;true;false
"34181-1818";"0006676";"HCAH";"Oxycodone Teva";"01818";false;;;"N";"N";0;0;false;false;true;true;false
"50013-612";"0019521";"DCCA";"Pirfenidon EG";"00612";false;;;;;0;0;false;false;false;true;false
"10512-2485";"0009498";"KAAABA";"Floxapen";"02485";false;;;;;0;0;false;false;false;true;false
"27367-2360";"0018671";"TCA";"Traumeel";"02360";false;;;;;0;0;false;false;false;true;false
"10504-828";"0002139";"BAACA";"Flolan";"00828";false;;;;;0;0;true;false;false;true;false
"19406-1354";"0004192";"EAAAA";"NovoRapid";"01354";false;;;"H";"H";0;0;false;false;false;true;false
"34165-3103";"0005355";"FBAAC";"Gaelle 20";"03103";false;;;;;0;0;false;false;false;true;false
"34173-3103";"0005355";"FBAAC";"Gaelle 30";"03103";false;;;;;0;0;false;false;false;true;false
"4127-1263";"8901993";"KBBB";"Cancidas";"01263";false;;;;;0;0;false;false;false;true;false
"13938-1784";"0016832";"NADA";"Kali-Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"19562-1370";"0002246";"BBAB";"Octanate";"01370";false;;;;;0;0;false;false;false;true;false
"34728-265";"0016832";"NADA";"KCl B. Braun";"00265";false;;;;;0;0;false;false;false;true;false
"4697-1636";"0009639";"KAABAC";"Cefazoline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"50021-711";"0012310";"LCBBDC";"Tyenne";"00711";true;;;;;0;0;false;false;false;true;false
"4747-711";"0009712";"KAABCB";"Ceftazidim Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"49965-67";"0005884";"EDFB";"Camcevi";"00067";false;;;"Hman";"Hman";0;0;false;false;false;true;false
"37341-1701";"0012914";"MABDA";"Lonsurf";"01701";false;;;;;0;0;false;false;false;true;false
"21030-885";"0008201";"JCAAE";"Paroxetine Sandoz";"00885";false;;;;;0;0;false;false;false;true;false
"37374-1792";"0002253";"BBAE";"Alprolix";"01792";false;;;;;0;0;true;false;false;true;false
"50039-3103";"0020826";"FBCAA";"MI-MONA-One Cu 380 Ag mini";"03103";false;;;;;0;0;false;false;false;true;false
"37366-612";"0018531";"PDDD";"Travoprost EG";"00612";false;;;;;0;0;false;false;false;true;false
"6528-1818";"0000141";"AADD";"Coperindo";"01818";false;;;"D";"D";0;0;false;false;false;true;false
"50047-3103";"0020826";"FBCAA";"MI-MONA-Push Cu 375";"03103";false;;;;;0;0;false;false;false;true;false
"37416-1818";"0008573";"JFCC";"Pramipexole Teva";"01818";false;;;;;0;0;false;false;false;true;false
"37887-398";"0016246";"SAACA";"Iomeron";"00398";false;;;;;0;0;false;false;false;true;false
"37424-67";"0026450";"MAADD";"Tepadina";"00067";false;;;;;0;0;false;false;false;true;false
"38893-1289";"0011049";"KDCADA";"Efavirenz / Emtricitabine / Tenofovir disoproxil Mylan";"01289";false;;;;;0;0;false;false;false;true;false
"37895-752";"0016246";"SAACA";"Omnipaque";"00752";false;;;;;0;0;false;false;false;true;false
"37929-299";"0016246";"SAACA";"Ultravist";"00299";false;;;;;0;0;false;false;false;true;false
"12799-1347";"0018804";"LCBBAB";"Ilaris";"01347";false;;;;;0;0;false;false;false;true;false
"37945-752";"0016253";"SAACB";"Visipaque";"00752";false;;;;;0;0;false;false;false;true;false
"8276-836";"0016303";"SBA";"Dotarem";"00836";false;;;;;0;0;false;false;false;true;false
"42184-1784";"8901092";"TABBA";"Thiosulfate de Sodium Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"9886-1347";"0016444";"TACBA";"Exjade";"01347";false;;;;;0;0;false;false;false;true;false
"37572-2303";"0006999";"IAADB";"Etoricoxib Krka";"02303";false;;;;;0;0;false;false;false;true;false
"37911-836";"0016246";"SAACA";"Optiray";"00836";false;;;;;0;0;false;false;false;true;false
"37739-406";"0013201";"MBAA";"Empliciti";"00406";false;;;;;0;0;false;false;false;true;false
"21220-1180";"0026146";"FEBH";"Pergoveris";"01180";false;;;"Hman";"Hman";0;0;false;false;false;true;false
"37648-2303";"0000158";"AADE";"Enalapril / Lercanidipine Krka";"02303";false;;;;;0;0;false;false;false;true;false
